번호,시도,시군구,품목,부부 가족 경영규모,평균투자비(3년합계),연간운영비/년(운영),평균수입/년(부부인건비 포함),평균농지가격(3.3㎡)
28,경상남도,창원시,근채류 > 당근 > 당근(일반),3300(㎡),25000000(원),5000000(원),35000000(원),1000(원)/200000(원)
29,경상남도,창원시,과일과채류 > 수박 > 수박(일반),3300(㎡),30000000(원),5000000(원),40000000(원),1000(원)/200000(원)
30,경상남도,창원시,과실류 > 단감 > 감(기타),3300(㎡),15000000(원),3000000(원),20000000(원),1000(원)/200000(원)
31,경상북도,울진군,서류 > 감자 > 감자(기타),3000(㎡),4000000(원),8000000(원),8000000(원),15000(원)/50000(원)
32,경상북도,울진군,조미채소류 > 양파 > 양파(일반),3000(㎡),8000000(원),13000000(원),11000000(원),15000(원)/50000(원)
33,경상북도,울진군,조미채소류 > 풋고추 > 풋고추(기타),3000(㎡),6000000(원),10000000(원),12000000(원),15000(원)/50000(원)
34,경상북도,봉화군,과실류 > 사과 > 사과(기타),10000(㎡),13158890(원),2110580(원),15094860(원),2500(원)/120000(원)
35,경상북도,봉화군,과일과채류 > 수박 > 노지수박,5000(㎡),5903460(원),5766105(원),17717685(원),2000(원)/100000(원)
36,경상북도,봉화군,조미채소류 > 건고추 > 기타,5000(㎡),4120000(원),3747968(원),14174148(원),1700(원)/100000(원)
37,경상북도,예천군,약용작물류 > 오미자 > 오미자(일반),9900(㎡),30000000(원),8000000(원),50000000(원),5000(원)/30000(원)
38,경상북도,예천군,조미채소류 > 풋고추 > 풋고추(기타),3300(㎡),150000000(원),10000000(원),40000000(원),5000(원)/30000(원)
39,경상북도,예천군,과일과채류 > 토마토 > 토마토(일반),6600(㎡),105000000(원),45000000(원),70000000(원),5000(원)/30000(원)
40,경상북도,예천군,과실류 > 사과 > 사과(기타),9900(㎡),60000000(원),15000000(원),40000000(원),5000(원)/30000(원)
41,경상북도,성주군,과실류 > 사과 > 사과(기타),6600(㎡),40000000(원),7000000(원),150000000(원),1700(원)/150000(원)
42,경상북도,성주군,버섯류 > 표고버섯 > 표고버섯(일반),3300(㎡),200000000(원),50000000(원),150000000(원),1800(원)/150000(원)
43,경상북도,성주군,엽경채류 > 상추 > 상추(기타),9900(㎡),180000000(원),60000000(원),120000000(원),1800(원)/150000(원)
44,경상북도,성주군,과일과채류 > 참외 > 참외(기타),12500(㎡),80000000(원),50000000(원),150000000(원),2000(원)/160000(원)
45,경상북도,고령군,과일과채류 > 수박 > 수박(일반),6600(㎡),50000000(원),12000000(원),50000000(원),2000(원)/160000(원)
46,경상북도,고령군,과일과채류 > 메론 > 메론(기타),7920(㎡),60000000(원),12000000(원),48000000(원),2000(원)/160000(원)
47,경상북도,고령군,과일과채류 > 토마토 > 토마토(시설),1960(㎡),90000000(원),15000000(원),45000000(원),2000(원)/160000(원)
48,경상북도,고령군,과일과채류 > 딸기 > 고설딸기,3960(㎡),200000000(원),40000000(원),100000000(원),2000(원)/160000(원)
49,경상북도,고령군,과일과채류 > 딸기 > 딸기(기타),2970(㎡),75000000(원),30000000(원),75000000(원),2000(원)/160000(원)
50,경상북도,청도군,과일과채류 > 딸기 > 딸기(기타),5000(㎡),100000000(원),15000000(원),100000000(원),13000(원)/100000(원)
51,경상북도,청도군,엽경채류 > 미나리 > 미나리(일반),3000(㎡),9000000(원),3000000(원),42000000(원),13000(원)/100000(원)
52,경상북도,청도군,과실류 > 복숭아 > 털복숭아(일반),6000(㎡),10000000(원),3500000(원),24000000(원),1000(원)/100000(원)
53,경상북도,청도군,과실류 > 떫은감 > 반시,4000(㎡),9000000(원),3000000(원),24000000(원),1000(원)/100000(원)
